FSU_Slno,hh_no,mpce,hh_size,social_group,religion,Stratum,visitNo,educ_head,age_head,gender_head,total_land,land_used_agri,num_land_parcels,received_tech_advice,MLT,final_weight,mpce_per_capita,log_mpce,land_size_cat,educ_level,social_group_f,tech_advice_f,gender_f,land_size_f
78783,02,4650,5,2,1,45,2,1,40,1,21.94,21.79,15,1,217350,2173.5,930,6.835184586147301,Medium/Large (>4 acres),Illiterate,SC,Yes,Male,Medium/Large (>4 acres)
78781,01,2667,2,3,1,45,2,1,55,1,37.22,36.660000000000004,18,1,2992600,29926,1333.5,7.195562343622069,Medium/Large (>4 acres),Illiterate,OBC,Yes,Male,Medium/Large (>4 acres)
78781,02,4200,3,1,1,45,2,5,26,1,5.74,5.22,11,1,2992600,29926,1400,7.24422751560335,Medium/Large (>4 acres),Secondary,ST,Yes,Male,Medium/Large (>4 acres)
78781,03,8050,3,3,1,45,2,4,75,1,6.32,6.16,4,1,95917,959.17,2683.3333333333335,7.8948150817444995,Medium/Large (>4 acres),Middle,OBC,Yes,Male,Medium/Large (>4 acres)
78785,01,4100,2,9,1,45,2,10,45,1,20.98,20.04,11,1,36225,362.25,2050,7.6255950721324535,Medium/Large (>4 acres),Diploma/Certificate,Others,Yes,Male,Medium/Large (>4 acres)
78785,02,5100,3,9,1,45,2,4,40,1,14.32,12.86,12,1,36225,362.25,1700,7.438383530044307,Medium/Large (>4 acres),Middle,Others,Yes,Male,Medium/Large (>4 acres)
78785,03,4200,3,3,2,45,2,5,24,1,1.1,1.07,3,1,93150,931.5,1400,7.24422751560335,Small (1-4 acres),Secondary,OBC,Yes,Male,Small (1-4 acres)
78785,04,4800,4,9,1,45,2,3,50,2,7.04,7.02,4,0,93150,931.5,1200,7.090076835776092,Medium/Large (>4 acres),Primary,Others,No,Female,Medium/Large (>4 acres)
78789,01,6767,5,3,1,46,2,5,49,1,16.68,16.68,7,1,4600,46,1353.4,7.210375223798125,Medium/Large (>4 acres),Secondary,OBC,Yes,Male,Medium/Large (>4 acres)
78789,02,3567,2,3,1,46,2,3,65,1,10,10,3,1,4600,46,1783.5,7.486333004798946,Medium/Large (>4 acres),Primary,OBC,Yes,Male,Medium/Large (>4 acres)
78789,03,18833,13,9,1,46,2,3,70,1,20.6,20.6,3,1,4600,46,1448.6923076923076,7.27841657173321,Medium/Large (>4 acres),Primary,Others,Yes,Male,Medium/Large (>4 acres)
78788,01,4800,4,1,1,46,2,2,32,1,41.18,37,12,1,71300,713,1200,7.090076835776092,Medium/Large (>4 acres),Below Primary,ST,Yes,Male,Medium/Large (>4 acres)
78788,02,4850,4,1,1,46,2,2,35,1,46.2,42.03,12,1,71300,713,1212.5,7.100439622811638,Medium/Large (>4 acres),Below Primary,ST,Yes,Male,Medium/Large (>4 acres)
78788,03,4067,3,2,1,46,2,4,27,1,4.68,4.64,4,1,66700,667,1355.6666666666667,7.212048617239115,Medium/Large (>4 acres),Middle,SC,Yes,Male,Medium/Large (>4 acres)
78788,04,5950,5,1,1,46,2,1,71,1,4.4,4.36,3,1,66700,667,1190,7.081708586105575,Medium/Large (>4 acres),Illiterate,ST,Yes,Male,Medium/Large (>4 acres)
